cmdCode,commodity,year,actual,predicted
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",2024,16580215340.722,15501301865.0101
0303,"Fish; frozen, excluding fish fillets and other fish meat of heading 0304",2023,12248172042.612,13388131435.535286
0303,"Fish; frozen, excluding fish fillets and other fish meat of heading 0304",2024,11942358389.307,13851274550.713657
0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",2023,28578212584.775,28475406672.017242
0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",2024,25507598393.171,29222578226.364372
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",2023,30875.0,3528281837.581345
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",2023,4422883702.346,3532410275.4188485
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",2024,40085.0,3535713025.688851
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",2024,4045822880.989,3538355225.9048533
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",2023,20397744478.16,0.0
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",2023,108789.0,0.0
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",2024,18083843169.874,0.0
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",2024,299766.0,0.0
0307,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, cooked or not before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",2023,69336.0,9366217713.0387
0307,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, cooked or not before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",2023,11260025019.807,9273009056.858706
0307,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, cooked or not before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",2024,2143.0,9198442131.91471
0307,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, cooked or not before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",2024,10694481393.981,9138788591.959513
0308,"Aquatic invertebrates, other than crustaceans and molluscs; live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during the smoking process; flours, meals, and pellets, fit for human consumption",2023,510127691.594,25123743.085669085
0308,"Aquatic invertebrates, other than crustaceans and molluscs; live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during the smoking process; flours, meals, and pellets, fit for human consumption",2024,459563354.355,0.0
0308,"Aquatic invertebrates, other than crustaceans and molluscs; live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during the smoking process; flours, meals, and pellets, fit for human consumption",2024,11350.0,0.0
0401,"Milk and cream; not concentrated, not containing added sugar or other sweetening matter",2023,7096059376.834,7266988549.778287
0401,"Milk and cream; not concentrated, not containing added sugar or other sweetening matter",2024,7674018829.473,7388329040.51896
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2023,10028103186.906,11437532131.636967
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2024,8812825071.008,12160592937.922688
0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",2023,160094.0,2417057391.7237296
0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",2023,3393049515.7990003,2420445705.9900117
0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",2024,116265.0,2423156357.403037
0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",2024,3597712545.65,2425324878.5334573
0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2023,2695051721.415,3616150192.0570617
0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2024,2773663986.008,3943786344.038877
0405,Butter and other fats and oils derived from milk; dairy spreads,2023,6969746575.636,6836624273.57263
0405,Butter and other fats and oils derived from milk; dairy spreads,2024,7788337654.897,7166989897.097603
0406,Cheese and curd,2023,30074592722.718,30790057407.567715
0406,Cheese and curd,2024,31162989276.127,33674416908.90088
0407,"Birds' eggs, in shell; fresh, preserved or cooked",2023,4326029515.226,4146127463.33679
0407,"Birds' eggs, in shell; fresh, preserved or cooked",2024,4413218690.203,4332797358.69454
0408,"Birds' eggs, not in shell; egg yolks, fresh, dried, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",2023,1542034706.365,1569712746.3952768
0408,"Birds' eggs, not in shell; egg yolks, fresh, dried, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",2024,1462308214.7319999,1910834717.9810486
0409,Honey; natural,2023,1781309883.187,2322616379.2882624
0409,Honey; natural,2024,1795421104.9919999,2441737385.3701334
0410,Edible products of animal origin; not elsewhere specified or included,2023,1055597127.2429999,1180798981.924286
0410,Edible products of animal origin; not elsewhere specified or included,2024,912028934.8610001,1270209110.941117
0410,Edible products of animal origin; not elsewhere specified or included,2024,5107.0,1357538119.6805487
0501,"Human hair; unworked, whether or not washed or scoured; waste of human hair",2023,6984958.976,6177632.749638779
0501,"Human hair; unworked, whether or not washed or scoured; waste of human hair",2024,2295558.1,4594131.266347091
0502,"Pigs', hogs' or boars' bristles and hair; and waste thereof",2023,47200958.522,69601406.85906059
0502,"Pigs', hogs' or boars' bristles and hair; and waste thereof",2024,41478205.786,59446026.395745955
0504,"Guts, bladders and stomachs of animals (other than fish); whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",2023,3464814257.971,3587589593.374564
0504,"Guts, bladders and stomachs of animals (other than fish); whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",2024,3460036946.384,3580434965.9961276
0505,"Skins and other parts of birds with feathers, down; feathers, down and parts thereof; not further worked than cleaned, disinfected, treated for preservation; powder, waste and parts of feathers",2023,1236200326.372,1473467175.578292
0505,"Skins and other parts of birds with feathers, down; feathers, down and parts thereof; not further worked than cleaned, disinfected, treated for preservation; powder, waste and parts of feathers",2024,1360550248.692,1486642906.5826638
0506,"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products",2023,267963189.608,263722197.4216502
0506,"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products",2024,210764819.882,261716645.26772764
0507,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks unworked or simply prepared, not cut to shape; waste and powder of these products",2023,63086739.937,73486699.51346368
0507,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks unworked or simply prepared, not cut to shape; waste and powder of these products",2024,60784711.736,75750703.52744737
0508,"Coral and similar materials, unworked or simply prepared, shells of molluscs, crustaceans or echinoderms and cuttle-bone, not cut to shape powder and waste thereof",2023,167684686.419,147725642.50643113
0508,"Coral and similar materials, unworked or simply prepared, shells of molluscs, crustaceans or echinoderms and cuttle-bone, not cut to shape powder and waste thereof",2024,127771558.85800001,146030712.96216136
0510,"Ambergris, castoreum, civet and musk; cantharides; bile, dried or not glands, other animal products used in preparation of pharmaceutical products, fresh chilled, frozen or otherwise provisionally preserved",2023,399797803.695,286023667.4096103
0510,"Ambergris, castoreum, civet and musk; cantharides; bile, dried or not glands, other animal products used in preparation of pharmaceutical products, fresh chilled, frozen or otherwise provisionally preserved",2024,378256185.32100004,315511295.83922553
0511,"Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption",2023,3487550592.855,4218835756.571333
0511,"Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption",2024,3358172941.67,4693063725.024997
0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes; dormant, in growth or in flower; chicory plants and roots other than roots of heading no. 1212",2023,2444848131.441,2425642512.2879047
0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes; dormant, in growth or in flower; chicory plants and roots other than roots of heading no. 1212",2024,2528730697.034,2478259688.5120964
0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",2023,12091787361.013,13396968639.842373
0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",2024,12209490607.71,14154699466.195961
0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",2023,9228850227.816,8927070211.249063
0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",2024,9603361295.626,9094595134.684603
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated etc.",2023,1395033193.501,1535451971.90606
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated etc.",2024,1349230428.046,1637515115.3239105
0701,Potatoes; fresh or chilled,2023,4723442204.599,3550539097.42807
0701,Potatoes; fresh or chilled,2024,5100670434.228,3585515637.5164256
0702,Tomatoes; fresh or chilled,2023,14137637141.005999,12882569321.89966
0702,Tomatoes; fresh or chilled,2024,14898326186.032,13196893923.168758
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",2023,7959799168.427,6788103674.96812
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",2024,8613302134.326,6843614285.608539
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",2023,4449158473.128,4120197221.318258
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",2024,4469649282.142,4275748604.259141
0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,2023,3664306992.96,3752034190.421336
0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,2024,3602014112.904,4013424599.5337205
0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",2023,2466709830.1679997,2003243389.4018552
0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",2024,2414301561.267,2045321682.8721335
0707,Cucumbers and gherkins; fresh or chilled,2023,4857811068.058001,4667306763.190209
0707,Cucumbers and gherkins; fresh or chilled,2024,5156512937.245,5045174670.232516
0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",2023,1576387048.0080001,1493522902.916948
0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",2024,1802236679.1030002,1527635024.7190487
0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",2023,20710379429.116,19906093608.71868
0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",2024,21869044235.531,20639627888.555557
0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,2023,8674341340.514,7827589373.029244
0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,2024,9029053828.861,8041751704.546825
0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2023,647722501.999,443720071.3851545
0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2023,123220.0,434801075.3841771
0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2024,677392622.711,425926674.3632046
0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2024,89179.0,417096645.34733695
0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",2023,3192792530.531,3223895999.2795424
0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",2024,3440709581.399,3136205045.2251854
0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",2023,12733100325.592,11208244245.659418
0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",2024,15056977910.133,11190286524.950388
0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",2023,2757606494.86,3198041108.975284
0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",2024,1841999670.947,3400674230.823623
0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",2023,7548736547.622,8276496608.671135
0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",2024,5068056112.97,8325761215.988067
0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",2023,11133879762.36,11801004394.166225
0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",2024,12085118536.488,11760363573.839994
0803,"Bananas, including plantains; fresh or dried",2023,6617788118.694,6034119827.716416
0803,"Bananas, including plantains; fresh or dried",2024,6331882464.734,6134701600.346117
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",2023,16965456259.44,16716362085.542406
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",2024,19235719956.777,17041420438.13831
0805,Citrus fruit; fresh or dried,2023,17068093614.311,16536077013.217585
0805,Citrus fruit; fresh or dried,2024,17199526830.674,16817758971.077507
0806,Grapes; fresh or dried,2023,10455888531.094,10197138187.499401
0806,Grapes; fresh or dried,2024,11380668221.242,10352396928.25893
0807,Melons (including watermelons) and papaws (papayas); fresh,2023,4878251367.162,4463320027.929338
0807,Melons (including watermelons) and papaws (papayas); fresh,2024,4663927972.091,4543276234.55981
0808,"Apples, pears and quinces; fresh",2023,7522274199.655,7907094458.092994
0808,"Apples, pears and quinces; fresh",2024,8023090882.788,7943026566.9552765
0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",2023,6683515287.722,6700028495.6608715
0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",2024,8063416011.596,6984311971.941503
0810,"Fruit, fresh; n.e.c. in chapter 08",2023,25422665133.407,23832938401.69747
0810,"Fruit, fresh; n.e.c. in chapter 08",2024,23944254294.135,25288698555.2812
0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",2023,6826130234.297,8173222719.618788
0811,"Fruit and nuts; uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",2024,6708051157.732,9058090557.713194
0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",2023,178874680.391,0.0
0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",2023,157695.0,0.0
0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",2024,201002243.576,0.0
0812,"Fruit and nuts provisionally preserved; e.g. by sulphur dioxide gas, brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",2024,138592.0,0.0
0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",2023,2673729041.186,2693892800.999584
0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",2024,2707303916.512,2785808157.120583
0814,"Peel of citrus fruit or melons (including watermelons); fresh, frozen dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",2023,82534062.932,79279633.76640452
0814,"Peel of citrus fruit or melons (including watermelons); fresh, frozen dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",2024,95294164.138,78307613.82431872
0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",2023,35584676507.83,47763940414.49519
0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",2024,38949922990.342,57008273373.514435
0902,Tea,2023,4463231787.254,5151806871.217516
0902,Tea,2024,3769077108.111,5320736330.142918
0903,Mate,2023,108062991.713,121493483.31571707
0903,Mate,2024,122108570.868,123647359.66477072
0904,Pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta,2023,4419688067.438,4680387423.819716
0904,Pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta,2024,4266112673.061,4876518675.31945
0905,Vanilla,2023,468782726.852,802928813.7232867
0905,Vanilla,2024,357528518.23399997,839692354.7504689
0906,Cinnamon and cinnamon-tree flowers,2023,906432921.648,1113678160.7640274
0906,Cinnamon and cinnamon-tree flowers,2024,577959347.883,1136880024.2984338
0907,"Cloves (whole fruit, cloves and stems)",2023,407681744.093,402987532.5905612
0907,"Cloves (whole fruit, cloves and stems)",2024,640460650.9879999,406679690.385748
0908,"Nutmeg, mace and cardamoms",2023,690756925.2409999,650943989.8602073
0908,"Nutmeg, mace and cardamoms",2024,552487017.414,608370537.6529386
0909,"Seeds of anise, badian, fennel, coriander, cumin, caraway or juniper",2023,1047320968.317,751241113.6263365
0909,"Seeds of anise, badian, fennel, coriander, cumin, caraway or juniper",2024,691017140.447,796901752.0799389
0910,"Ginger, saffron, tumeric (curcuma), thyme, bay leaves, curry and other spices",2023,2713249607.896,2232352603.560057
0910,"Ginger, saffron, tumeric (curcuma), thyme, bay leaves, curry and other spices",2024,2880915980.822,2230038590.467236
1001,Wheat and meslin,2023,25843110272.14,30343413547.12195
1001,Wheat and meslin,2024,18718261802.585,34829700828.26123
1002,Rye,2023,480296231.253,420616013.96226466
1002,Rye,2024,399967950.559,417183930.5290837
1003,Barley,2023,4938403897.314,5785360854.603262
1003,Barley,2024,3527336841.8640003,6267795413.341111
1004,Oats,2023,1423965488.419,1700337111.8003268
1004,Oats,2024,1103658417.582,1949091280.2135506
1005,Maize (corn),2023,19812888857.128,15316973907.771854
1005,Maize (corn),2024,12358474236.561,17395339049.622635
1006,Rice,2023,16407324811.283,13215634317.91111
1006,Rice,2024,13308512300.662,13426535636.455875
1007,Grain sorghum,2023,887103492.442,983177276.5134653
1007,Grain sorghum,2024,712546191.158,1153577516.9757915
1008,"Buckwheat, millet and canary seeds; other cereals",2023,667109891.6010001,815043037.1191399
1008,"Buckwheat, millet and canary seeds; other cereals",2024,620107522.582,837723617.925237
1101,Wheat or meslin flour,2023,4904633369.217999,5407080458.594235
1101,Wheat or meslin flour,2024,4242399112.25,6376504488.022814
1102,Cereal flours; other than of wheat or meslin,2023,1142807995.398,1076820563.6485372
1102,Cereal flours; other than of wheat or meslin,2024,1247277454.447,1138206859.1548946
1103,Cereal groats; meal and pellets,2023,1255185240.255,1352565437.4097438
1103,Cereal groats; meal and pellets,2024,1179234437.151,1512305297.8451972
1104,"Cereal grains otherwise worked (e.g. hulled, rolled, flaked, pearled, sliced or kibbled) except rice of heading no. 1006; germ of cereals whole, rolled, flaked or ground",2023,2130501924.16,2394918811.773992
1104,"Cereal grains otherwise worked (e.g. hulled, rolled, flaked, pearled, sliced or kibbled) except rice of heading no. 1006; germ of cereals whole, rolled, flaked or ground",2024,1889067318.208,2663793372.473051
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",2023,1138242675.707,919536617.6272538
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",2024,1098207681.562,992995864.5274751
1106,"Flour, meal and powder; of the dried leguminous vegetables of heading no. 0713, of sago or of roots or tubers of heading no. 0714 or of the products of chapter 8",2023,632554513.949,732313991.6977786
1106,"Flour, meal and powder; of the dried leguminous vegetables of heading no. 0713, of sago or of roots or tubers of heading no. 0714 or of the products of chapter 8",2024,645591546.578,769079375.1170986
1107,Malt; whether or not roasted,2023,3402463417.091,2878622233.8887796
1107,Malt; whether or not roasted,2024,3032510946.16,3044286993.4065466
1108,Starches; inulin,2023,5535544166.872,6378677621.799767
1108,Starches; inulin,2024,4502305838.864,7077630258.525675
1109,Wheat gluten; whether or not dried,2023,2718014766.279,2210444356.9298086
1109,Wheat gluten; whether or not dried,2024,2143503794.128,2287995246.855535
1201,"Soya beans, whether or not broken",2023,58395736072.867004,47101541003.62901
1201,"Soya beans, whether or not broken",2024,47209343632.948,49803898812.35318
1202,"Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken",2023,1307562458.588,1118761237.5675783
1202,"Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken",2024,1242490819.843,1149556357.5392823
1203,Copra,2023,45497635.145,42438158.45938818
1203,Copra,2024,35165297.474,40197360.262521066
1204,"Oil seeds; linseed, whether or not broken",2023,576084992.71,811608730.4943392
1204,"Oil seeds; linseed, whether or not broken",2024,538377117.669,863042851.6244372
1205,Rape or colza seeds; whether or not broken,2023,10381837247.989,13783655148.1025
1205,Rape or colza seeds; whether or not broken,2024,8897415693.810999,14777621949.547474
1206,Sunflower seeds; whether or not broken,2023,2091956306.853,1801835368.7488706
1206,Sunflower seeds; whether or not broken,2024,1906990181.1859999,1872080902.282053
1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2023,3018375569.142,2327360301.582825
1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2024,3037953611.988,2406904557.073047
1208,Flours and meals of oil seeds or oleaginous fruits; other than those of mustard,2023,410827496.517,353403366.42730546
1208,Flours and meals of oil seeds or oleaginous fruits; other than those of mustard,2024,284407061.363,369626292.74597234
1209,"Seeds, fruit and spores; of a kind used for sowing",2023,6740235909.319,6569918264.723277
1209,"Seeds, fruit and spores; of a kind used for sowing",2024,7227487736.055,6660616180.309062
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2023,455243483.946,540059060.0954098
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2024,445760179.72300005,555378769.3505595
1211,"Plants and parts of plants (including seeds and fruits), used primarily in perfumery, pharmacy; for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not crushed or powdered",2023,3506942391.8589997,1624725192.2834842
1211,"Plants and parts of plants (including seeds and fruits), used primarily in perfumery, pharmacy; for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not crushed or powdered",2024,3620107747.689,1606411752.5600421
1212,"Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.c.",2023,2514123162.958,3069268882.105074
1212,"Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.c.",2024,2706665103.001,3409632641.276979
